title,description,year,type,rate_start,votes,status,followers,episodes,genders,url_anime,image
Saber Marionette J to X,"Ocurre después de Saber Marionette J Again y cuenta la historia de Otaru y sus marionettes aunque se torna más dramática que las otras series de la saga J. En esta serie las marionettes expresan su profundo deseo de ser humanas. También se muestra la vida en Japoness después que Gartland se convirtiera en el país democrático de Germania. Pero entre tanta paz surge de nuevo Gartland, pero liderado por un nuevo Fausto, clonado por el Doctor Hess para cumplir sus planes. Después de la derrota de Gartland, el doctor Hess se va a Xi'An donde empezará la odisea de Otaru y sus tres marionettes hasta el descenlace final de la serie.",1998,Anime,4.6,58,Finalizado,353,26,"Acción,Aventuras,Ciencia Ficción,Comedia,Harem,Mecha,",https://www3.animeflv.net/anime/saber-marionette-j-to-x,https://www3.animeflv.net/uploads/animes/covers/1747.jpg
Majutsushi Orphen,"Azalea, una de las mejores hechiceras de la Torre de los Colmillos (prestigioso lugar de aprendizaje para hechiceros) realiza un fallido experimento con la mágica espada de Baltanders, convirtiéndose en un oscuro dragón apodado Bloody August; Tras esto, la Torre del Colmillo decide eliminarla al suponer una deshonra para esta, pero Orphen, compañero de Azalea desde pequeños decide revelarse contra ellos y buscar la forma de devolverle su forma humana a Azalea, cosa que ella intenta pero a su modo; En su viaje contará con la ayuda de Magic, su aprendiz de mago, de Clea, la actual propietaria de la espada de Baltanders, y de Dojin y Volkan, dos hermanos expertos en meterse en líos de forma cómica.",1998,Anime,4.5,91,Finalizado,1748,24,"Acción,Aventuras,Comedia,Demonios,Fantasía,Magia,",https://www3.animeflv.net/anime/majutsushi-orphen,https://www3.animeflv.net/uploads/animes/covers/1351.jpg
Kareshi Kanojo no Jijou,"Yukino Miyazawa es una chica y estudiante modelo. Al menos fuera de casa. Es primera en cuanto a notas, es la mejor en todo, la más amable y la más educada...y todo ello la hace parecer un genio de manera natural. Lo que nadie sabe es que detrás de todo ese éxito hay noches sin dormir debido a un estudio y esfuerzos continuos, y muchas máscaras para mantener las formas de ""buena niña"". Su lado vanidoso por conseguir la atención y admiración de todo el mundo y sus enfados y rabietas están muy bien escondidas dentro de las paredes de su casa, con su familia. Pero un día, aparece otro estudiante ejemplar, Soichiro Arima, que pondrá su mundo patas arriba, ya que éste descubre su verdadero ""yo""...Ahí es cuando empieza una relación de odio y competencia con él, que acabará en amor, lo que la hará cambiar y la ayudará a mostrar al mundo su verdadero aspecto sin mascaras ni falsedad.",1998,Anime,4.6,219,Finalizado,1950,26,"Comedia,Drama,Escolares,Recuentos de la vida,Romance,Shoujo,",https://www3.animeflv.net/anime/kare-kano,https://www3.animeflv.net/uploads/animes/covers/1559.jpg
Mobile Suit Gundam: The 08th MS Team - Miller`s Report,"Esta es una película recopilatoria que se situa entre los episodios 8 y 9 de The 08th MS Team donde en un juicio a Shiro Amada se le interroga por un posible caso de espionaje.En la película recopilatoria se nos introduce a la oficial Alice Miller de la Federación quien interroga a Shiro mientras nos relata los eventos de la serie original de OVAs.
",1998,Película,4.2,24,Finalizado,100,1,"Ciencia Ficción,Drama,Mecha,Militar,Romance,",https://www3.animeflv.net/anime/mobile-suit-gundam-the-08th-ms-team-millers-report,https://www3.animeflv.net/uploads/animes/covers/1408.jpg
Slayers Gorgeous,"Como de costumbre, la historia comienza con Naga y Lina en una ciudad sin nombre. Mientras discuten sobre sus más recientes adquisiciones culinarias, se dan cuenta que los lugareños evacuan la zona apresuradamente. En cuanto la última persona se refugia, Lina y Naga (junto con los típicos guardias inútiles) son bienvenidas por una joven muchacha que monta un dragón rojo y ríe histéricamente. Tras una breve escaramuza, Marlene (la muchacha de la histérica risa) y su dragón se marchan, y Lina es invitada a ver al Rey con la esperanza de que pueda ser la solución a sus problemas. Resulta que Marlene es la hija del Rey, y parece que está en una ""fase de rebeldía"". Lo que quiere es que se le permitan más cosas, pero su padre no quiere, así que se dedica a asustar a los ciudadanos hasta que lo consiga...
Mientras tanto, Naga sigue a Marlene hasta su guarida, para enseñarle un par de cosas de cómo reirse ADECUADAMENTE, por un precio, claro. Una vez más es Lina contra Naga, Padre contra Hija, en una lucha sin cuartel y de lanzamiento de hechizos...",1998,Película,4.2,19,Finalizado,188,1,"Aventuras,Comedia,Fantasía,Magia,Sobrenatural,",https://www3.animeflv.net/anime/slayers-gorgeous,https://www3.animeflv.net/uploads/animes/covers/1367.jpg
Mobile Suit Gundam Wing: Endless Waltz Movie,"En el momento álgido de las Guerras de Origen, el 24 de diciembre del año 195 DC (Después de la Colonización), los ejércitos de la Nación Mundial y Colmillo Blanco se enfrentan en una feroz batalla.
El líder de la Nación Mundial, Treize Khushrenada, fue asesinado, el líder de Colmillo Blanco Zechs Merquise desapareció, y la Tierra se salvó de la destrucción por la intervención de los cinco pilotos Gundam.
Habiendo presenciado las consecuencias de la guerra y el odio, la gente de la Tierra y las colonias espaciales limaron sus diferencias y fundaron en conjunto un nuevo gobierno.
Bajo esta recién formada Nación Unida del Globo Terrestre, ha transcurrido un año en paz.
El gobierno y la población se han desarmado, y casi todos los mobile suits que quedaban fueron destruidos.
Decidiendo dar ejemplo, los pilotos de Gundam: Heero Yuy, Duo Maxwell, Trowa Barton y Quatre Raberba Winner colocaron sus poderosos Gundams
dentro de un asteroide y los envían en un viaje sin retorno hacia el Sol.
Pero cuando se despiden de sus Gundams, un nuevo conflicto se avecina... ",1998,Película,4.6,51,Finalizado,191,1,"Acción,Ciencia Ficción,Drama,Espacial,Mecha,Militar,",https://www3.animeflv.net/anime/mobile-suit-gundam-wing-endless-waltz-movie,https://www3.animeflv.net/uploads/animes/covers/1872.jpg
Night Walker: Mayonaka no Tantei,"NightWalker, un detective japonés, esconde un misterioso secreto. Detrás de su apariencia pública, en la intimidad, adopta la forma de vampiro con un poder considerable. Junto con su secretaria y socia, se dedica a solucionar crímenes por toda la ciudad y a luchar contra los demonios invasores que la amenazan. Sin embargo, en el fondo, esas fuerzas misteriosas están en su contra, y deberá vigilar que por su culpa no dañen a sus seres queridos mientras mantiene su aspecto humano. ",1998,Anime,4.4,51,Finalizado,358,12,"Acción,Comedia,Misterio,Terror,Vampiros,",https://www3.animeflv.net/anime/night-walker-mayonaka-no-tantei,https://www3.animeflv.net/uploads/animes/covers/2138.jpg
Serial Experiments Lain,"Tras el suicidio de una estudiante llamada Chisa Yomoda, sus compañeros de escuela comienzan a recibir extraños correos electrónicos póstumos de Chisa desde la red -o Wired-. Entre ellos se encuentra Lain Iwakura, una niña de 14 años a la que se le hace difícil convivir con los demás. Sin conocer el funcionamiento de una computadora, abre el correo de la joven suicida, y, por curiosidad, trata de descubrir más acerca del tema, pidiéndole a su padre un nuevo Navi para poder conocer más acerca de la Wired (que es un sistema de navegación similar a lo que conocemos por internet)",1998,Anime,4.6,721,Finalizado,7244,13,"Ciencia Ficción,Demencia,Drama,Misterio,Psicológico,Sobrenatural,",https://www3.animeflv.net/anime/serial-experiments-lain,https://www3.animeflv.net/uploads/animes/covers/83.jpg
Jigoku Sensei Nube OVA,"Narra las aventuras de Meisuke Nueno un maestro de la escuela primaria Dohmori, también conocido como Nube, tiene la capacidad de exorcizar demonios y espíritus gracias al poder de un poderoso demonio que encerró en su mano izquierda la cual siempre cubre con un guante negro. La historia se basa en las aventuras y travesuras de los alumnos de Nube en la escuela, su relación amorosa con la maestra Ritsuko y después con Yukime, una mujer de la nieve. ",1998,OVA,4.3,22,Finalizado,136,3,"Acción,Comedia,Demonios,Escolares,Shounen,Sobrenatural,Terror,",https://www3.animeflv.net/anime/jigoku-sensei-nube-ova,https://www3.animeflv.net/uploads/animes/covers/1533.jpg
Queen Emeraldas,"En un futuro lejano, una raza que se cree superior planea dominar la galaxia.
Contra estos despiadados Afressianos, la humanidad tiene una sola esperanza: la misteriosa guerrera conocida como Emeraldas.
Conducida por el tormentoso recuerdo de un amor perdido, Emeraldas recorre el Mar de Estrellas como una bucanera, desintegrando
a los tiranos en átomos con una asombrosa colección de armas futuristas.
Pero cuando el malvado Comandante Eldomain secuestra a un grupo de civiles, Emeraldas cae en una trampa mortal
de la que puede que no escape. ",1998,OVA,4.3,20,Finalizado,118,4,"Acción,Aventuras,Ciencia Ficción,",https://www3.animeflv.net/anime/queen-emeraldas,https://www3.animeflv.net/uploads/animes/covers/409.jpg
Initial D,"Takumi Fujiwara trabaja como bombero en una estación de servicio por el dia, y entregando tofu para la tienda de su padre por las noches. Poco sabe de sus excelentes habilidades al volante, y con el Toyota Sprinter AE86 Trueno es el mejor conductor amateur en la carretera del monte Akina. A causa de esto, grupos de carrera de toda la prefectura de Gunma buscan desafiar a a Takumi para ver si realmente tiene lo necesario para ser una estrella de la calle.",1998,Anime,4.3,999,Finalizado,4057,26,"Acción,Carreras,Deportes,Drama,Seinen,",https://www3.animeflv.net/anime/initial-d,https://www3.animeflv.net/uploads/animes/covers/153.jpg
Sakura Card Captor,"Sakura Kinomoto es una niña de 10 años que vive con su padre Fujitaka y su hermano Touya. La historia comienza cuando Sakura abre un extraño libro llamado The Clow y libera accidentalmente las cartas que este contenía, Sakura deberá pasar grandes apuros para sellar las cartas pero con ayuda de sus amigos Tomoyo, Shaoran y Kerberos vivirían grandes aventuras para lograr su objetivo, atrapar todas las cartas Clow. ",1998,Anime,4.6,1357,Finalizado,8231,70,"Aventuras,Comedia,Drama,Escolares,Fantasía,Magia,Romance,Shoujo,",https://www3.animeflv.net/anime/sakura-card-captor,https://www3.animeflv.net/uploads/animes/covers/447.jpg
Jikuu Tenshou Nazca,"Hace 500 años, una sangrienta guerra civil estalló en el imperio Inca. El bando perdedor decidió utilizar un arma mística de asombroso poder que casi destruye toda la tierra. En la actualidad, en Japón, Kyoji Miura descubre que es el alma reencarnada del antiguo guerrero Inca. Pero Kyoji no está solo. Su amigo y profesor, Tate, es también un alma Inca reencarnada. Pero Tate decide utilizar esta arma antigua de destrucción total otra vez. Ahora Kyoji debe viajar por todo el mundo para descubrir el secreto de su propio pasado y luchar contra su mejor amigo, para salvar su futuro y el de todos.",1998,Anime,4.3,29,Finalizado,327,12,"Acción,Aventuras,Drama,Fantasía,Magia,",https://www3.animeflv.net/anime/jikuu-tenshou-nazca,https://www3.animeflv.net/uploads/animes/covers/1530.jpg
Android Ana Maico 2010,"Android Ana Maico 2010 es una de las tres series emitidas en el programa ""Anime Complex"" de una cadena japonesa por satélite.
Mientras se reúnen para su primera emisión, el equipo del programa ""Take Off MAICO! 2010"" se queda de piedra al descubrir que la presentadora es una androide. Y no sólo eso, ¡ni siquiera está acabada!
",1998,Anime,3.9,23,Finalizado,146,2010,"Ciencia Ficción,Comedia,Drama,Seinen,",https://www3.animeflv.net/anime/android-ana-maico-2010,https://www3.animeflv.net/uploads/animes/covers/1767.jpg
Akihabara Dennou Gumi,"La historia transcurre en el año 2010 cuando todos en Tokio desean tener la mascota del momento llamado: PataPi, que son una clase de robot a los que uno cría y le aumenta partes que se venden en las tiendas para hacerlos más inteligentes, etc. (Los patapis son parecidos a una abeja). Un día, una chica llamada Hibari Hanakoganei recibe uno de su Príncipe de los sueños y lo llama Densuke. Pero no es un Patapí común y corriente como todos los demás existentes. Cuando ella está en peligro Densuke se transforma en una versión adulta de Hibari, con una muy buena armadura y posee un gran poder de batalla. A este estado se lo conoce como ""Diva"" Con el transcurso de los episodios, Hibari se reúne con cuatro chicas más que poseen Patapí como el de ella y forman el Cyber Team in Akihabara
",1998,Anime,4.2,24,Finalizado,194,26,"Aventuras,Ciencia Ficción,Mecha,Shoujo,",https://www3.animeflv.net/anime/akihabara-dennou-gumi,https://www3.animeflv.net/uploads/animes/covers/1540.jpg
Legend of Basara,"Basara se desarrolla en Japón, unos 300 años después de un gran desastre ocurrido entorno a los años 90. Tras el desastre, la humanidad y la civilización se desvanecieron, y Japón, como país en una isla, quedó aislado y muy deteriorado. El clima cambió, y algunas zonas se transformaron en desierto, mientras que otras se llenaron de extrañas criaturas. Pero al principio del manga, no estamos seguros de qué partes de Japón cambiaron, y cómo, excepto el lugar donde la protagonista (una chica llamada Sarasa) creció. Ese lugar, el pueblo de Hyakko, al norte de Shikoku, se convirtió en un desierto, y allí es donde se desarrolla la historia.
Sarasa es la hermana gemela de un chico llamado Tatara, quien según las profecías sería quien liberaría al pueblo de la opresión. La opresión de la que se habla en la historia es la de los reyes tiranos que luchan entre sí por el contról del Japón; cada uno controla un sector, pero ninguno ha sido capaz de reinar sobre los demás. Uno de ellos, el Rey Rojo, descubre esta profecía y envía un ejército a destruir el pueblo. Aquí empieza la historia.",1998,Anime,4.4,31,Finalizado,184,13,"Aventuras,Drama,Romance,Shoujo,",https://www3.animeflv.net/anime/legend-of-basara,https://www3.animeflv.net/uploads/animes/covers/2176.jpg
Lost Universe,"Estamos en una época futurista, la fuente de poder de la humanidad se conoce como psicho-energía y el medio de transporte más usado es la nave espacial; Kain Blueriver es un joven ""Cazaproblemas"" que viaja por el universo junto a una holograma llamada Kanal que es la computadora central de la nave en la que viajan: la Swordbreaker (Súper espada), resolviendo todo tipo de problemas a cambio de dinero, sin embargo uno de esos viajes se iba a convertir en la batalla en la que estaría en juego el destino de todo el universo...",1998,Anime,4.6,30,Finalizado,249,26,"Aventuras,Ciencia Ficción,Comedia,Drama,Espacial,Shounen,",https://www3.animeflv.net/anime/lost-universe,https://www3.animeflv.net/uploads/animes/covers/1469.jpg
Cowboy Bebop,"En este anime, el director Shinichiro Watanabe nos narra las aventuras de Spike, Faye, Jet Black, Ed y Ein... Un grupo muy peculiar de caza-recompensas que viaja a través del sistema solar en la nave Bebop. Balas, emoción y diversión se encuentran en cada una de sus sesiones autoconclusivas, las cuales los llevarán a enfrentar a un gran adversario y viejo amigo de Spike.",1998,Anime,4.7,1422,Finalizado,13576,26,"Acción,Aventuras,Ciencia Ficción,Comedia,Drama,Espacial,",https://www3.animeflv.net/anime/cowboy-bebop,https://www3.animeflv.net/uploads/animes/covers/284.jpg
Lodoss-tou Senki: Eiyuu Kishi Den,"Narra la historia de Spark, un aprendiz de caballero en su lucha por convertirse en el mejor de su clase de toda la isla de Lodoss. Los primeros 8 capítulos se centran en ser la continuación y desenlace de los primeros 13 OVAS, donde Parn el caballero lucha junto al rey de los mercenarios Kashue para derrotar al Caballero Negro Ashram. Este busca el Báculo de la Dominación con el fin de cumplir los deseos de su maestro, el rey Beld.",1998,Anime,4.4,39,Finalizado,274,27,"Acción,Aventuras,Drama,Fantasía,Magia,Romance,",https://www3.animeflv.net/anime/lodoss-tou-senki-eiyuu-kishi-den,https://www3.animeflv.net/uploads/animes/covers/1356.jpg
Trigun,"Trigun narra la historia de Vash La Estampida, también conocido como El Huracán Humano, y de las dos empleadas de la Sociedad de Seguros Bernardi: Meryl Stryfe y Milly Thompson, que tienen la misión de seguir y minimizar los efectos de los desastres que parecen perseguir a Vash a donde quiera que vaya. Éste parece tener una doble personalidad, alternando entre el idiota inofensivo y el guerrero implacable, pero es siempre un pacifista acérrimo e imparable.",1998,Anime,4.7,570,Finalizado,4868,26,"Acción,Ciencia Ficción,Comedia,",https://www3.animeflv.net/anime/trigun,https://www3.animeflv.net/uploads/animes/covers/177.jpg
Silent Mobius,"Año 2023. Seres conocidos como ""Halcón Lucifer"" han empezado a invadir la Tierra desde otra dimensión. La única oposición que encuentran para la esclavización de la humanidad es el Departamento de Policía de la Mistificación (DPM), una división especial de la policía de Tokyo, formada por mujeres con increíbles habilidades paranormales. ¿Serán suficientes las habilidades de Katsumi y la AMP para vencer a las fuerzas de la oscuridad?
",1998,Anime,4.2,33,Finalizado,220,26,"Acción,Ciencia Ficción,Comedia,Drama,Fantasía,Magia,Romance,Terror,",https://www3.animeflv.net/anime/silent-mobius,https://www3.animeflv.net/uploads/animes/covers/1925.jpg
Seihou Bukyou Outlaw Star,"La serie sigue las hazañas de Gene Starwind - un fugitivo (outlaw) del espacio - un siglo y medio después de que los humanos desarrollasen naves espaciales más rápidas que la luz. En este contexto un ""fugitivo"" es una persona independiente y sin lealtades gubernamentales. Outlaw Star toma los personajes del manga original con una historia totalmente diferente.",1998,Anime,4.5,38,Finalizado,337,26,"Acción,Aventuras,Ciencia Ficción,Comedia,Espacial,",https://www3.animeflv.net/anime/seihou-bukyou-outlaw-star,https://www3.animeflv.net/uploads/animes/covers/2137.jpg
Di Gi Charat,"Di Gi Charat es la típica serie llena de humor y de locuras. Se basa en la vida en la Tierra de una chica gata, Di Gi Charat (también conocida como Dejiko), cuyo objetivo es el de convertirse en una gran idol a la que todos admiren.
Junto a sus compañeros Petit Charat o Puchiko (una pequeña y linda gatita, algo traviesa en el fondo) y Gema (una pelota amarilla y estúpida, como bien le define Dejiko), llegan a la Tierra desde su planeta Di Gi Charat, donde Dejiko es la princesa. Tras aterrizar con su nave espacial, se darán cuenta de que no tienen dónde alojarse, pero un amable señor (con forma de dedo) les ofrecerá alojamiento a cambio de que trabajen en su tienda, Gamers. Allí conocerán a otakus, niños y a la gran rival de Dejiko a la hora de convertirse en idol, Usada Hikaru (una bella muchacha con orejas de conejito y que prefiere ser conocida como Rabi~en~Rose).
A partir de aquí comienzan las extrañas aventuras de estos personajes. ",1999,Anime,4.6,22,Finalizado,153,16,"Ciencia Ficción,Comedia,Fantasía,",https://www3.animeflv.net/anime/di-gi-charat,https://www3.animeflv.net/uploads/animes/covers/2009.jpg
One Piece,"Una historia épica de piratas, donde narra la historia de ""Monkey D. Luffy"" quien cuado tenia 7 años, comió accidentalmente una ""Akuma no mi""(Futa del diablo) la cual le dio poderes de goma. Por otra parte ""Gol D. Roger"" conocido como ""El rey de los Piratas"" quien fuera ejecutado por la Marine, habló antes de morir, acerca de su famoso tesoro ""One Piece"" escondido en la ""Gran line"". Esta noticia desato la gran era de la piratas lanzando a incontables piratas a ese lugar, en busca de ""One Piece"" el tesoro perdido. Diez años después, Luffy inspirado en ""Gol D. Roger"" y un pirata de nombre Akagami no Shanks (Shanks el pelirrojo) se convierte en pirata deseando ser el próximo ""Rey de los Piratas"" y zarpar para conocer amigos y tener aventuras con ellos, teniendo como meta encontrar el ""One Piece"". ",1999,Anime,4.6,18759,En emision,162714,1022,"Acción,Aventuras,Comedia,Drama,Fantasía,Shounen,Superpoderes,",https://www3.animeflv.net/anime/one-piece-tv,https://www3.animeflv.net/uploads/animes/covers/7.jpg
Hunter x Hunter,"Gon Frecks,un niño de 12 años,vive con su tia Mito_san y su abuela en Isla Ballena,hunerfano de madre y segun su tia tambien de su padre.Un dia Gon es atacado por un oso del bosque,pero es salvado x un cazador quien le explica que esta en busca de su maestro para asi convertirse en un cazador,el es quien le dice que su padre Gin esta vivo. Enterado de esto Gon decide convertirse en cazador para poder encontrar a su padre...",1999,Anime,4.5,666,Finalizado,11232,62,"Acción,Aventuras,Shounen,Superpoderes,",https://www3.animeflv.net/anime/hunter-x-hunter,https://www3.animeflv.net/uploads/animes/covers/465.jpg
Initial D: Second Stage,"Un grupo de Mitsubishi Lancer Evolution, llamado los Emperadores, se aproxima a Gunma para vencer a los equipos locales en sus pistas y pegar las pegatinas cortadas de los equipos a los que vencen en el alerón de su coche. Esta visita supondrá un nuevo reto tanto para Takumi, que se dará cuenta de que existe un límite incluso para él; como para Ryosuke Takahashi.",1999,Anime,4.2,405,Finalizado,1431,13,"Acción,Carreras,Deportes,Drama,Seinen,",https://www3.animeflv.net/anime/initial-d-2,https://www3.animeflv.net/uploads/animes/covers/154.jpg
"Ima, Soko ni Iru Boku","Mientras vuelve a casa, Shuzo avista a una persona en lo alto de una chimenea en la zona industrial donde antes solía jugar. El joven prueba a comunicarse con la chica en cuestión, Lala Ru, pero ésta se muestra silenciosa y poco expresiva. De pronto se produce una explosión y se detiene el tiempo: unos asaltantes aparecen de la nada y pretenden llevarse a su nueva amiga, así que Shu hace todo lo posible por detenerlos. Al final, acaba transportado a otro mundo intentando defender a Lala Ru.
Este nuevo planeta que se extiende ante él es un páramo hostil que no perdona a nadie, y allí tendrá que sobrevivir a las órdenes del infame dictador Hamdo. Poco espera el joven Shu que su periplo en el nuevo mundo será la lección más dura que jamás tenga que aprender en su vida.
Pasado el primer episodio de introducción, nos encontramos con una sucesión de temas muy serios ligados con la guerra, que van desde la violencia hasta la explotación infantil, las violaciones o el genocidio, y las consecuencias que tienen estos hechos en las personas que los sufren.",1999,Anime,4.4,109,Finalizado,618,13,"Aventuras,Ciencia Ficción,Drama,Fantasía,Militar,",https://www3.animeflv.net/anime/ima-soko-ni-iru-boku,https://www3.animeflv.net/uploads/animes/covers/1997.jpg
Excel Saga,"Excel Saga trata acerca de las desventuras de la organización secreta ideológica ACROSS, de quién hace parte la hiperactiva Excel, quién no quiere hacer nada más que complacer a su señor, Lord Ilpalazzo, el cuál quiere dominar el mundo. Las desventuras de Excel y de su compañera Hyatt, quién muere constantemente, las llevan a hacer todo tipo de impertinencias. Todo en este mundo es parodiado y bizarro, incluso hasta el mismo director.",1999,Anime,4.4,61,Finalizado,543,26,"Ciencia Ficción,Comedia,Parodia,Shounen,",https://www3.animeflv.net/anime/exce-saga,https://www3.animeflv.net/uploads/animes/covers/1531.jpg
Blue Gender,"Yuji es un estudiante de secundaria al que se la diagnosticado un virus incurable. Decide someterse a un prolongado sueño artificial con la esperanza de que la tecnología médica sea capaz de tratar su enfermedad en un futuro.
Año 2013: Yuji se despierta en su cámara de sueño. La Tierra está dominada por los ""Blue"", una raza de criaturas gigantes que son capaces de comer cualquier cosa, incluso a los humanos. La Humanidad ha sido exiliada al espacio y trata de recuperar su planeta con los avanzados ""armour shrikes""; unos vehículos de combate humanoides capaces de destruir a los Blues.
Yuji está en medio de una guerra que no comprende, una lucha por la supervivencia de la raza humana en la que él jugará un papel muy importante.",1999,Anime,4.5,80,Finalizado,555,26,"Aventuras,Ciencia Ficción,Drama,Espacial,Mecha,Militar,Romance,Terror,",https://www3.animeflv.net/anime/blue-gender,https://www3.animeflv.net/uploads/animes/covers/1940.jpg
Steel Angel Kurumi,"Steel Angel es un androide que posee un corazón de Angel creado por una magia muy poderosa. Es como una combinación de ciencia y magia. Kurumi es la primera Steel Angel, y es despertada cuando Nakahito, un joven aprendiz de místico, la besa. Kurumi siente mucho afecto por el y lo comienza a llamar ""Mi señor"". Nunca sigue órdenes que no sean de Nakahito. Entonces, la segunda Steel Angel, Saki, la tercera, Karinka y más personajes se unen a la historia.",1999,Anime,4.4,46,Finalizado,501,24,"Aventuras,Comedia,Drama,Historico,Mecha,Militar,Romance,Shounen,",https://www3.animeflv.net/anime/steel-angel-kurumi,https://www3.animeflv.net/uploads/animes/covers/88.jpg
Jibaku-kun,"Esta historia trata sobre un valiente joven llamado Bucky, cuya única meta es ser ""El rey del mundo"", para lo cual el debe viajar por un extraño universo llamado Los 12 Mundos, junto a sus amigos Kai y Pinky, Bucky tendrá que librar grandes batallas y superar difíciles pruebas.",1999,Anime,4.5,49,Finalizado,388,26,"Aventuras,Comedia,Fantasía,",https://www3.animeflv.net/anime/jibaku-kun,https://www3.animeflv.net/uploads/animes/covers/1723.jpg
Majutsushi Orphen Revenge,"El viaje de Orphen un hechicero negro ex miembro de la famosa torre del colmillo cuna de grandes hechiceros continúa, y Cleo y Magic su pandilla a la que se une otra chica llamada Licorice, que está empeñada en que nombren a Orphen ""Hechicero Real"". Mientras tanto, Flamesoul intenta vengarse de Orphen y les envía diversos monstruos que irán interponiéndose en su camino. Qué se esconde en el pasado de Licorice Y en el de Orphen Poco a poco las dudas se irán despejando mientras nuestros amigos siguen adelante...",1999,Anime,4.3,59,Finalizado,723,23,"Aventuras,Comedia,Fantasía,Magia,Shounen,",https://www3.animeflv.net/anime/majutsushi-orphen-revenge,https://www3.animeflv.net/uploads/animes/covers/1352.jpg
Zoids,"Los Zoids son maquinas-bestias usadas normalmente para transporte y especialmente para la guerra. Algunos tipos de Zoids, conocidos como Organoides, son Zoids en miniatura y a su vez son organismos vivos. Esos Organoides tienen la capacidad de fusionarse con los Zoids normales y hacerlos mas poderosos. Van (Ban) Freiheit descubre un Organodie en un laboratorio abandonado mientras huye de dos Zoids. También hay en el laboratorio un tubo con una extraña chica en animación suspendida. Él rompe el tubo y se lleva consigo a ambos, la chica y el Organoide. Cerca de la salida encuentran un Zoids estropeado y sucio, el Organoide se fusiona con el y repara los daños. Mientras escapan Van llama al Organoide Zeke y dedice ser su amigo. La chica, que se llama Fiona, quiere encontrar un lugar llamado Zoids Eve y asi Van, Zeke y Fiona comienzan su aventura.",1999,Anime,4.5,234,Finalizado,1472,67,"Acción,Aventuras,Ciencia Ficción,Comedia,Mecha,",https://www3.animeflv.net/anime/zoids,https://www3.animeflv.net/uploads/animes/covers/353.jpg
Akihabara Dennou-gumi: 2011 Nen no Natsuyasumi,"Un año después de la visita de Crane a la tierra, Hibari sigue teniendo pesadillas con él. Así que decide que el Cyberteam tiene que viajar al Metatrone e investigar si las cosas están bien. El sistema de vigilancia del Metatron se a vuelto loco y depende de Hibari y sus amigas repararlo y ayudar al Príncipe Crane. ",1999,Película,3.8,13,Finalizado,66,2011,"Aventuras,Ciencia Ficción,Comedia,Mecha,",https://www3.animeflv.net/anime/akihabara-dennou-gumi-2011-nen-no-natsuyasumi,https://www3.animeflv.net/uploads/animes/covers/1541.jpg
Gravitation: Lyrics of Love,"Luego un debut con gran éxito de ventas, Bad Luck todavía debe asegurarse en el mercado musical con un segundo CD de canciones propias. Sin embargo, la inseguridad de Shuichi Shindou respecto de su talento como compositor, irremediablemente unido a su inestable relación con Yuki, le traerá como siempre problemas en su vida profesional.
",1999,Anime,4.3,145,Finalizado,1176,1,"Comedia,Romance,Shoujo,Yaoi,",https://www3.animeflv.net/anime/gravitation-lyrics-of-love,https://www3.animeflv.net/uploads/animes/covers/1569.jpg
Senkaiden Houshin Engi,"Taikoubou es un joven huérfano que es llevado a la montaña KunLun, un lugar en donde se entrena a los mejores hechiceros del mundo. Allí, recibe una estricta educación que, aunque muy difícil, no consigue hacerlo menos holgazán. Pero la vida de Taikoubou sufre un giro inesperado al ser llamado por su maestro, el que le encomienda una tarea muy difícil y no menos misteriosa:""La Cacería de Espíritus"".La misión consistía en cazar las almas de los hechiceros dispersos en la tierra; su maestro le informo que estos magos ponían en peligro la armonía de la tierra manipulando a su antojo a los seres humanos , pero la más peligrosa es Daji, una hechicera que había tomado el control de todo el Imperio de la dinastía Chou gracias a un hechizo de amor que utilizo sobre el emperador Chou.",1999,Anime,4.1,36,Finalizado,336,26,"Aventuras,Fantasía,Historico,Magia,Shounen,Sobrenatural,",https://www3.animeflv.net/anime/senkaiden-houshin-engi,https://www3.animeflv.net/uploads/animes/covers/1744.jpg
Medabots,"Del siglo XXII, un niño llamado Ikki Tenrio, con su amigo Medabee que participan en Robottallas. Se trata sobre las peleas de un robot contra otro. Ikki y sus amigos debe enfrentar varios obstaculos como detener los planes de la Pandilla de RubberRobo.",1999,Anime,4.4,95,Finalizado,1371,52,"Aventuras,Ciencia Ficción,Comedia,Shounen,",https://www3.animeflv.net/anime/medabots,https://www3.animeflv.net/uploads/animes/covers/429.jpg
Great Teacher Onizuka,"Eikichi Onizuka, 22 años, soltero"" esta es la forma en que este peculiar personaje se presenta; con su gran sueño de ser profesor Onizuka se enfrenta a una serie de problemas, creados por quienes podrían ser los alumnos mas problemáticos para un profesor. Estudiantes que crean a la vez un sinfín de divertidas situaciones",1999,Anime,4.8,852,Finalizado,4224,43,"Comedia,Drama,Escolares,Recuentos de la vida,Shounen,",https://www3.animeflv.net/anime/great-teacher-onizuka,https://www3.animeflv.net/uploads/animes/covers/44.jpg
